version,release_date,end_of_support_date
1.3.0,2016-07-01,2017-03-28
1.4.0,2016-09-26,2017-06-30
1.5.0,2016-12-13,2017-09-29
1.6.0,2017-03-28,2017-12-15
1.7.0,2017-06-30,2018-03-26
1.8.0,2017-09-29,2018-06-27
1.9.0,2017-12-15,2018-09-27
1.10.0,2018-03-26,2018-12-03
1.11.0,2018-06-27,2019-03-25
1.12.0,2018-09-27,2019-06-19
1.13.0,2018-12-03,2019-09-18
1.14.0,2019-03-25,2019-12-09
1.15.0,2019-06-19,2020-03-24
1.16.0,2019-09-18,2020-06-30
1.17.0,2019-12-09,2020-09-30
1.18.0,2020-03-25,2021-01-30
1.19.0,2020-08-26,2021-08-30